"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"184",184,"ə","i_e",0,0,13,0,0,13,-Inf,-Inf,1.11394335230684,-Inf,-Inf,1.11394335230684
"185",185,"ə","ia",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"186",186,"ə","ia_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"187",187,"ə","ie",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"188",188,"ə","o",12,17,224,140,0,393,1.07918124604762,1.23044892137827,2.35024801833416,2.14612803567824,-Inf,2.59439255037543
"189",189,"ə","o_e",0,0,6,0,0,6,-Inf,-Inf,0.778151250383644,-Inf,-Inf,0.778151250383644
"190",190,"ə","oi",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"191",191,"ə","oi_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"192",192,"ə","on",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"193",193,"ə","ou",0,14,14,4,0,32,-Inf,1.14612803567824,1.14612803567824,0.602059991327962,-Inf,1.50514997831991
"194",194,"ə","u",1,12,82,21,0,116,0,1.07918124604762,1.91381385238372,1.32221929473392,-Inf,2.06445798922692
"195",195,"ə","u_e",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"196",196,"ə","ua",0,0,0,2,0,2,-Inf,-Inf,-Inf,0.301029995663981,-Inf,0.301029995663981
"197",197,"ə","ui",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"198",198,"ə","y",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"199",199,"ɛ","a",9,1,1,58,0,69,0.954242509439325,0,0,1.76342799356294,-Inf,1.83884909073726
"200",200,"ɛ","a_e",0,0,31,0,0,31,-Inf,-Inf,1.49136169383427,-Inf,-Inf,1.49136169383427
"201",201,"ɛ","aa",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"202",202,"ɛ","ae",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"203",203,"ɛ","ah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"204",204,"ɛ","ai",6,0,20,5,0,31,0.778151250383644,-Inf,1.30102999566398,0.698970004336019,-Inf,1.49136169383427
"205",205,"ɛ","ai_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"206",206,"ɛ","ay",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"207",207,"ɛ","aye",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"208",208,"ɛ","e",83,8,385,229,0,705,1.91907809237607,0.903089986991944,2.5854607295085,2.35983548233989,-Inf,2.8481891169914
"209",209,"ɛ","e_e",9,0,38,0,0,47,0.954242509439325,-Inf,1.57978359661681,-Inf,-Inf,1.67209785793572
"210",210,"ɛ","ea",0,0,47,29,0,76,-Inf,-Inf,1.67209785793572,1.46239799789896,-Inf,1.88081359228079
"211",211,"ɛ","ea_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"212",212,"ɛ","eh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"213",213,"ɛ","ei",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"214",214,"ɛ","eo",0,0,0,2,0,2,-Inf,-Inf,-Inf,0.301029995663981,-Inf,0.301029995663981
"215",215,"ɛ","hei",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"216",216,"ɛ","ie",0,0,5,0,0,5,-Inf,-Inf,0.698970004336019,-Inf,-Inf,0.698970004336019
"217",217,"ɛ","u",0,0,0,3,0,3,-Inf,-Inf,-Inf,0.477121254719662,-Inf,0.477121254719662
"218",218,"f","f",345,149,25,14,45,578,2.53781909507327,2.17318626841227,1.39794000867204,1.14612803567824,1.65321251377534,2.76192783842053
"219",219,"f","ff",0,46,1,2,20,69,-Inf,1.66275783168157,0,0.301029995663981,1.30102999566398,1.83884909073726
"220",220,"f","ft",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"221",221,"f","gh",0,1,0,1,6,8,-Inf,0,-Inf,0,0.778151250383644,0.903089986991944
"222",222,"f","lf",0,0,0,0,2,2,-Inf,-Inf,-Inf,-Inf,0.301029995663981,0.301029995663981
"223",223,"f","ph",14,19,3,0,6,42,1.14612803567824,1.27875360095283,0.477121254719662,-Inf,0.778151250383644,1.6232492903979
"224",224,"f","pph",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"225",225,"g","g",228,156,1,15,57,457,2.35793484700045,2.19312459835446,0,1.17609125905568,1.75587485567249,2.65991620006985
"226",226,"g","gg",0,33,0,3,1,37,-Inf,1.51851393987789,-Inf,0.477121254719662,0,1.568201724067
"227",227,"g","gh",3,1,0,0,0,4,0.477121254719662,0,-Inf,-Inf,-Inf,0.602059991327962
"228",228,"g","gu",7,2,0,0,2,11,0.845098040014257,0.301029995663981,-Inf,-Inf,0.301029995663981,1.04139268515823
"229",229,"dʒ","d",0,13,0,0,0,13,-Inf,1.11394335230684,-Inf,-Inf,-Inf,1.11394335230684
"230",230,"dʒ","dg",0,3,0,1,23,27,-Inf,0.477121254719662,-Inf,0,1.36172783601759,1.43136376415899
"231",231,"dʒ","di",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"232",232,"dʒ","dj",0,2,0,0,0,2,-Inf,0.301029995663981,-Inf,-Inf,-Inf,0.301029995663981
